,country,Conflict Start,Conflict End,Conflict 2 Start,Conflict 2 End,,
1,Angola,1989,2011,,,,
2,Benin,2019,2019,,,,
3,Burkina Faso,2016,2020,,,,
4,Burundi,1990,2008,,,,
5,Cameroon,1990,1994,2013,2020,,
6,Central African Republic,1991,1993,1999,2020,,
7,Chad,1989,2010,2014,2020,,
8,Comoros,1997,1998,,,,
9,Congo,1992,1999,2001,2003,2015,2017
10,Congo Democratic Republic,1989,2020,,,,
11,Cote d'Ivoire,1998,2013,,,,
12,Egypt,1992,2000,2004,2006,2008,2020
13,Eswatini,1989,1989,,,,
14,Ethiopia,1989,2020,,,,
15,Gambia,2004,2005,,,,
16,Ghana,1991,1995,2008,2010,,
17,Guinea,1998,2001,2005,2007,2009,2013
18,Kenya,1989,2020,,,,
19,Lesotho,1998,1998,,,,
20,Liberia,1989,2003,,,,
21,Madagascar,2002,2002,2009,2009,,
22,Mali,1990,1995,1999,1999,2007,2020
23,Morocco,1991,1991,1993,1993,,
24,Mozambique,1989,1995,2012,2020,,
25,Namibia,1999,2002,,,,
26,Niger,1989,1998,2007,2008,2012,2020
27,Nigeria,1990,2020,,,,
28,Rwanda,1990,2001,2011,2013,2016,2019
29,Senegal,1989,1993,1995,2006,2008,2013
30,Sierra Leone,1991,2002,,,,
31,South Africa,1989,2000,,,,
32,Sudan,1989,2020,,,,
33,Tanzania,2000,2000,2017,2020,,
34,Togo,1991,1993,2005,2005,,
35,Tunisia,2015,2016,,,,
36,Uganda,1989,1992,1994,2010,,
37,Zambia,1989,1990,2000,2001,,
38,Zimbabwe,2007,2009,2018,2020,,
